model,protocol,split,train_batches,validation_batches,validation_batch,n_train,n_validation,macro_f1,accuracy,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6
xgboost_depth4,random_stratified,random_fold_2,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))","(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))",,8248,2062,0.9938814735440763,0.9946653734238603,0.9923469387755102,0.9989235737351991,0.9903381642512077,0.9888475836431226,0.9968976215098242,0.9959349593495935
xgboost_depth4,random_stratified,random_fold_3,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))","(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))",,8248,2062,0.9951911972495634,0.995635305528613,0.9961783439490446,0.9978540772532188,0.9878934624697336,0.994413407821229,0.9948078920041536,1.0
xgboost_depth4,random_stratified,random_fold_4,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))","(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))",,8248,2062,0.994828599343233,0.9951503394762367,0.9949238578680203,0.9957081545064378,0.9951690821256038,0.9943502824858758,0.9968847352024922,0.9919354838709677
xgboost_depth4,random_stratified,random_fold_5,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))","(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))",,8248,2062,0.991697002307248,0.9917555771096024,0.9910600255427842,0.9946524064171123,0.9902912621359223,0.9905482041587902,0.9896907216494846,0.9939393939393939
xgboost_depth4,expanding_window,temporal_batch_2,"(np.int64(1),)","(np.int64(2),)",2.0,445,1244,0.5833982261974272,0.8006430868167203,0.5547445255474452,0.9256661991584852,0.4875,0.0,0.9769230769230769,0.5555555555555556
xgboost_depth4,expanding_window,temporal_batch_3,"(np.int64(1), np.int64(2))","(np.int64(3),)",3.0,1689,1586,0.9346612584119004,0.9407313997477932,0.9168765743073047,0.9819639278557114,0.9271844660194175,0.9111111111111111,0.9361702127659575,
xgboost_depth4,expanding_window,temporal_batch_4,"(np.int64(1), np.int64(2), np.int64(3))","(np.int64(4),)",4.0,3275,161,0.7183752072406332,0.7453416149068323,0.736,0.9885057471264368,0.9565217391304348,0.42105263157894735,0.4897959183673469,
xgboost_depth4,expanding_window,temporal_batch_5,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4))","(np.int64(5),)",5.0,3436,197,0.9620998916098337,0.9644670050761421,0.9491525423728814,1.0,0.9473684210526315,0.946236559139785,0.967741935483871,
xgboost_depth4,expanding_window,temporal_batch_6,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5))","(np.int64(6),)",6.0,3633,2300,0.5877193848997462,0.6365217391304347,0.6897347174163783,0.8982725527831094,0.9140271493212669,0.07134071340713408,0.9529411764705882,0.0
xgboost_depth4,expanding_window,temporal_batch_7,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6))","(np.int64(7),)",7.0,5933,3613,0.6808201246855333,0.7232216994187656,0.9007633587786259,0.8498694516971279,0.5276595744680851,0.29857299670691545,0.8413886997957795,0.6666666666666666
xgboost_depth4,expanding_window,temporal_batch_8,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7))","(np.int64(8),)",8.0,9546,294,0.7851409519903684,0.8673469387755102,0.9836065573770492,0.125,0.735632183908046,0.9705882352941176,0.9245901639344263,0.9714285714285714
xgboost_depth4,expanding_window,temporal_batch_9,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8))","(np.int64(9),)",9.0,9840,470,0.7238123177365438,0.7319148936170212,0.76,1.0,0.9950248756218906,0.5806451612903226,0.9746835443037974,0.032520325203252036
xgboost_depth6,random_stratified,random_fold_1,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))","(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))",,8248,2062,0.9914572104001228,0.9922405431619786,0.9936628643852978,0.9956989247311828,0.9878345498783455,0.9869158878504672,0.9927611168562565,0.991869918699187
