model,protocol,split,train_batches,validation_batches,validation_batch,n_train,n_validation,macro_f1,accuracy,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6
logreg_C0.1,random_stratified,random_fold_2,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))","(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))",,8248,2062,0.9867016274048691,0.988360814742968,0.9884763124199744,0.9967776584317938,0.9854368932038835,0.9739776951672863,0.9917355371900827,0.9838056680161943
logreg_C0.1,random_stratified,random_fold_3,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))","(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))",,8248,2062,0.9854647086561924,0.986905916585839,0.9871794871794872,0.9903329752953813,0.9705882352941176,0.9870609981515711,0.9896265560165975,0.988
logreg_C0.1,random_stratified,random_fold_4,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))","(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))",,8248,2062,0.9832820857736827,0.983996120271581,0.9794871794871794,0.987152034261242,0.9753694581280788,0.985239852398524,0.9865284974093265,0.9859154929577465
logreg_C0.1,random_stratified,random_fold_5,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))","(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))",,8248,2062,0.9829758965513528,0.9844810863239574,0.9845360824742269,0.9925133689839573,0.9705882352941176,0.9777777777777777,0.984488107549121,0.9879518072289156
logreg_C0.1,expanding_window,temporal_batch_2,"(np.int64(1),)","(np.int64(2),)",2.0,445,1244,0.6983111303562812,0.8464630225080386,0.6234817813765182,0.9683257918552036,0.9900990099009901,0.0,0.9412935323383085,0.6666666666666666
logreg_C0.1,expanding_window,temporal_batch_3,"(np.int64(1), np.int64(2))","(np.int64(3),)",3.0,1689,1586,0.7956983018230643,0.8146279949558638,0.39490445859872614,0.9969481180061037,0.9862385321100917,0.6189189189189189,0.9814814814814815,
logreg_C0.1,expanding_window,temporal_batch_4,"(np.int64(1), np.int64(2), np.int64(3))","(np.int64(4),)",4.0,3275,161,0.7856379411410858,0.7763975155279503,0.7678571428571429,0.9382716049382716,1.0,0.7692307692307693,0.4528301886792453,
logreg_C0.1,expanding_window,temporal_batch_5,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4))","(np.int64(5),)",5.0,3436,197,0.9858164757228586,0.9847715736040609,1.0,1.0,0.9743589743589743,0.9787234042553191,0.976,
logreg_C0.1,expanding_window,temporal_batch_6,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5))","(np.int64(6),)",6.0,3633,2300,0.6698098129742966,0.7804347826086957,0.9882121807465619,0.999128160418483,0.957345971563981,0.10780669144981413,0.9663658736669402,0.0
logreg_C0.1,expanding_window,temporal_batch_7,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6))","(np.int64(7),)",7.0,5933,3613,0.8000852619834035,0.8145585386105729,0.9405797101449276,0.7502837684449489,0.8536585365853658,0.35942668136714445,0.9367088607594937,0.9598540145985401
logreg_C0.1,expanding_window,temporal_batch_8,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7))","(np.int64(8),)",8.0,9546,294,0.9014080299365185,0.9217687074829932,0.9491525423728814,0.9473684210526315,0.8059701492537313,0.927536231884058,0.9491525423728814,0.8292682926829268
logreg_C0.1,expanding_window,temporal_batch_9,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8))","(np.int64(9),)",9.0,9840,470,0.7556048349951415,0.7702127659574468,0.9838709677419355,1.0,0.9950248756218906,0.5816733067729084,0.9536423841059603,0.019417475728155338
logreg_C1,random_stratified,random_fold_1,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))","(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))",,8248,2062,0.9928049106826734,0.9936954413191077,0.9961977186311787,0.9967776584317938,0.9829683698296837,0.9962546816479401,0.9927611168562565,0.991869918699187
logreg_C1,random_stratified,random_fold_2,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))","(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))",,8248,2062,0.9930968636533751,0.9941804073714839,0.9961783439490446,0.9989235737351991,0.9879518072289156,0.9888059701492538,0.9948186528497409,0.9919028340080972
logreg_C1,random_stratified,random_fold_3,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))","(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))",,8248,2062,0.9907228242002303,0.991270611057226,0.9923469387755102,0.9935622317596566,0.9757281553398058,0.9981308411214953,0.9886010362694301,0.9959677419354839
logreg_C1,random_stratified,random_fold_4,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))","(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))",,8248,2062,0.9903726884674087,0.9907856450048497,0.9910828025477707,0.992497320471597,0.9829683698296837,0.9981308411214953,0.9896049896049897,0.9879518072289156
logreg_C1,random_stratified,random_fold_5,"(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))","(np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9))",,8248,2062,0.9833080783666762,0.98545101842871,0.9923076923076923,0.9935622317596566,0.961352657004831,0.981203007518797,0.9834710743801653,0.9879518072289156
logreg_C1,expanding_window,temporal_batch_2,"(np.int64(1),)","(np.int64(2),)",2.0,445,1244,0.6709201881574675,0.8191318327974276,0.5996204933586338,0.9567901234567902,0.8114285714285714,0.0,0.9433962264150944,0.7142857142857143
logreg_C1,expanding_window,temporal_batch_3,"(np.int64(1), np.int64(2))","(np.int64(3),)",3.0,1689,1586,0.8525409108534625,0.8593947036569988,0.6151079136690647,0.9918200408997955,0.9862385321100917,0.6918429003021148,0.9776951672862454,
